English,Punjabi,Time
aap naath naathee sabh jaa kee riDh siDh avraa saad.,Awip nwQu nwQI sB jw kI iriD isiD Avrw swd ],1028
sanjog vijog du-ay kaar chalaaveh laykhay aavahi bhaag.,sMjogu ivjogu duie kwr clwvih lyKy Awvih Bwg ],1032
aadays tisai aadays.,Awdysu iqsY Awdysu ],1038
aad aneel anaad anaahat jug jug ayko vays. ||29||,Awid AnIlu Anwid Anwhiq jugu jugu eyko vysu ]29],1041
aykaa maa-ee jugat vi-aa-ee tin chaylay parvaan.,eykw mweI jugiq ivAweI iqin cyly prvwxu ],1044
ik sansaaree ik bhandaaree ik laa-ay deebaan.,ieku sMswrI ieku BMfwrI ieku lwey dIbwxu ],1048
jiv tis bhaavai tivai chalaavai jiv hovai furmaan.,ijv iqsu BwvY iqvY clwvY ijv hovY Purmwxu ],1052
oh vaykhai onaa nadar na aavai bahutaa ayhu vidaan.,Ehu vyKY Enw ndir n AwvY bhuqw eyhu ivfwxu ],1057
aadays tisai aadays.,Awdysu iqsY Awdysu ],1063
aad aneel anaad anaahat jug jug ayko vays. ||30||,Awid AnIlu Anwid Anwhiq jugu jugu eyko vysu ]30],1065
aasan lo-ay lo-ay bhandaar.,Awsxu loie loie BMfwr ],1072
jo kichh paa-i-aa so aykaa vaar.,jo ikCu pwieAw su eykw vwr ],1074
kar kar vaykhai sirjanhaar.,kir kir vyKY isrjxhwru ],1076
