English,Punjabi
sanjog vijog du-ay kaar chalaaveh laykhay aavahi bhaag., sMjogu ivjogu duie kwr clwvih lyKy Awvih Bwg ] 
aadays tisai aadays., Awdysu iqsY Awdysu ] 
aad aneel anaad anaahat jug jug ayko vays. ||29||, Awid AnIlu Anwid Anwhiq jugu jugu eyko vysu ]29] 
aykaa maa-ee jugat vi-aa-ee tin chaylay parvaan., eykw mweI jugiq ivAweI iqin cyly prvwxu ] 
ik sansaaree ik bhandaaree ik laa-ay deebaan., ieku sMswrI ieku BMfwrI ieku lwey dIbwxu ] 
jiv tis bhaavai tivai chalaavai jiv hovai furmaan., ijv iqsu BwvY iqvY clwvY ijv hovY Purmwxu ] 
oh vaykhai onaa nadar na aavai bahutaa ayhu vidaan., Ehu vyKY Enw ndir n AwvY bhuqw eyhu ivfwxu ] 
aadays tisai aadays., Awdysu iqsY Awdysu ] 
aad aneel anaad anaahat jug jug ayko vays. ||30||, Awid AnIlu Anwid Anwhiq jugu jugu eyko vysu ]30] 
aasan lo-ay lo-ay bhandaar., Awsxu loie loie BMfwr ] 
jo kichh paa-i-aa so aykaa vaar., jo ikCu pwieAw su eykw vwr ] 
kar kar vaykhai sirjanhaar., kir kir vyKY isrjxhwru ] 
naanak sachay kee saachee kaar., nwnk scy kI swcI kwr ] 
aadays tisai aadays., Awdysu iqsY Awdysu ] 
aad aneel anaad anaahat jug jug ayko vays. ||31||, Awid AnIlu Anwid Anwhiq jugu jugu eyko vysu ]31] 
ik doo jeebhou lakh hohi lakh hoveh lakh vees., iek dU jIBO lK hoih lK hovih lK vIs ] 
lakh lakh gayrhaa aakhee-ahi ayk naam jagdees., lKu lKu gyVw AwKIAih eyku nwmu jgdIs ] 
ayt raahi pat pavrhee-aa charhee-ai ho-ay ikees., eyqu rwih piq pvVIAw cVIAY hoie iekIs ] 
