English,Punjabi
"keh sarbatr daisai, sarbatr bhaisai. (117) ",ik srb`qR dysY ] ik srb`qR BysY ]117]
"keh sarbatr maniay, sadaivun pardhaniay",ik srb`qR mwinXYN ] sdYvM pRDwinXYN ]
"keh sarbatr japiay, keh sarbatr thapiay (118) ",ik srb`qR jwipXY ] ik srb`qR QwipXY ]118]
"keh sarbatr bhanai, keh sarbatr manai",ik srb`qR BwnY ] ik srb`qR mwnY ]
"keh sarbatr indrai, keh sarbatr chundrai. (119) ",ik srb`qR ieMdRY ] ik srb`qR cMdRY ]119]
"Keh sarbun kleemai, keh parmun phaheemai",ik srbM klImY ] ik prmM &hImY ]
"keh aakl alamai, keh sahib klamai. (120) ",ik Awkl AlwmY ] ik swihb klwmY ]120]
"keh husnul vjoo hain, tmamul rujoo hain.",ik husnl vjU hYN ] qmwmul rujU hYN ]
"hamaisul slamai, sleekht mudamai. (121) ",hmysul slwmYN ] slIKq mudwmYN ]121]
"gnimul shikstai, greebul prastai",ZnImul iSksqY ] ZrIbul prsqY ]
"belundul mkanai, zmeenul zmanai. (122) ",iblµdul mkwnYN ] zmInul zmwnYN ]122]
"tmeejul tmamai, rujooal nidhanai",qmIzul qmwmYN ] rujUAl inDwnYN ]
"hreephul ajeemai, rjaeik yakeenai. (123) ",hrIPul AjImYN ] rzwiek XkInYN ]123]
"anaikul trung hain, abhaid hain abhung hain",Anykul qrMg hYN ] AByd hYN ABMg hYN ]
"ajijul nivaz hain, gneemul khiraj hain. (124) ",AzIzul invwz hYN ] ZnImul i^rwj hYN ]124]
"nirukt sroop hain, tirmukt bebhooti hain",inrukq srUp hYN ] iqRmukiq ibBUq hYN ]
parbhugt prbha hain. sojugt sudha hain. (125) ,pRBugiq pRBw hYN ] su jugiq suDw hYN ]125]
"sdaivun sroop hain, abhaidi anoop hain.",sdYvM srUp hYN ] ABydI AnUp hYN ]
"smsto praj hain, sda sarb saj hain. (126) ",smsqo prwj hYN ] sdw srb swj hYN ]126]
smstul slam hain. sdaivul akam hain,smsqul slwm hYN ] sdYvl Akwm hYN ]
"nirbadh sroop hain, agadh hain anoop hain. (127) ",inRbwD srUp hYN ] AgwiD hYN AnUp hYN ]127]
"oaun adi roopai, anadi sroopai",EAM Awid rUpy ] Anwid srUpY ]
"anungi anamai, tirbhungi tirkamai. (128) ",AnµgI Anwmy ] iqRBMgI iqRkwmy ]128]
"tirbargun tirbadhai, agunjai agadhai",iqRbrgM iqRbwDy ] AgMjy AgwDy ]
"sobhun sarb bhagai, so sarba anuragai. (129)",suBM srb Bwgy ] su srbw Anurwgy ]129]
"tirbhugt sroop hain, achij hain, achoot hain.",iqRBugq srUp hYN ] AiC`j hYN ACUq hYN ]
keh narkun prnas hain. pirtheeul prvasi hain. (130) ,ik nrkM pRxws hYN ] ipRQIaul pRvws hYN ]130]
"nirukt prbha hain, sdaivun sda hain.",inrukiq pRBw hYN ] sdYvM sdw hYN ]
bebhugt sroop hain. prjugt anoop hain. (131) ,ibBugiq srUp hYN ] pRjugiq AnUp hYN ]131]
"nirukt sda hain, bebhugt prbha hain",inrukiq sdw hYN ] ibBugiq pRBw hYN ]
"anookt sroop hain, prjugt anoop hain. (132)",An aukiq srUp hYN ] pRjugiq AnUp hYN ]132]
CHACHER CHHUND,cwcrI CMd ]
"abhung hain, anung hain, abhaikh hain, alaikh hain. (133) ",ABMg hYN ] Anµg hYN ] AByK hYN ] AlyK hYN ]133]
"abharm hain, akarm hain, anadi hain, jugadi hain. (134) ",ABrm hYN ] Akrm hYN ] Anwid hYN ] jugwid hYN ]134]
