English,Punjabi
,suix kY jm ky dUq nwie qyrY Cif jwih ]
,Baujlu ibKmu Asgwhu gur sbdI pwir pwih ]
,ijn kau lgI ipAws AMimRqu syie Kwih ]
,kil mih eyho puMnu gux goivMd gwih ]
,sBsY no ikrpwlu sm@wly swih swih ]
,ibrQw koie n jwie ij AwvY quDu Awih ]9]
,sloku mÚ 5 ] 
,AMqir guru AwrwDxw ijhvw jip gur nwau ]
,nyqRI siqguru pyKxw sRvxI sunxw gur nwau ]
,siqgur syqI riqAw drgh pweIAY Twau ]
,khu nwnk ikrpw kry ijs no eyh vQu dyie ]
,jg mih auqm kwFIAih ivrly kyeI kyie ]1]
,mÚ 5 ]
,rKy rKxhwir Awip aubwirAnu ]
,gur kI pYrI pwie kwj svwirAnu ]
,hoAw Awip dieAwlu mnhu n ivswirAnu ]
,swD jnw kY sMig Bvjlu qwirAnu ]
,swkq inMdk dust iKn mwih ibdwirAnu ]
,iqsu swihb kI tyk nwnk mnY mwih ]
,ijsu ismrq suKu hoie sgly dUK jwih ]2]
